title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,time_signature,valence,tempo,cluster
Se Eu Quiser Falar Com Deus                                                                                                                                                       - Gilberto Gil                                    ,0.7017017017017017,0.1461461461461461,1.0,0.1871871871871872,0.0,0.6156156156156156,0.7912912912912913,0.3853853853853853,0.998998998998999,0.5385385385385385,0.3763763763763764,0.4094268986950502,12
Saudade De Bahia                                                                                                                                                                  - Antônio Carlos Jobim                            ,0.8343343343343343,0.2068636684021299,0.2712712712712712,0.2036412695903766,1.0,0.1556556556556556,0.6101266726913056,0.2679269194212694,0.3693693693693693,0.5385385385385385,0.7627627627627628,0.5934620066075451,1
"Canta Canta, Minha Gente                                                                                                                                                        - Martinho Da Vila                                ",0.9623430962343116,0.4904904904904905,0.2712712712712712,0.2609085773365945,1.0,0.986986986986987,0.7170503837170503,0.3887338187798724,0.4919919919919919,0.5385385385385385,0.941941941941942,0.1964497511884562,26
Mulher Eu Sei                                                                                                                                                                     - Chico César                                     ,0.7802802802802802,0.0379527792777004,0.3918918918918919,0.0962850960161893,1.0,0.3993993993993994,0.8648648648648649,0.3736172566371681,0.9192688139504094,0.5385385385385385,0.6096096096096096,0.3713601625450588,26
Rosa Morena                                                                                                                                                                       - Kurt Elling                                     ,0.6891891891891893,0.0798045929847622,0.5445445445445445,0.0754890285045526,1.0,0.2302302302302302,0.8833811186752363,0.4429782728544462,0.3433433433433434,0.5385385385385385,0.4864864864864864,0.5301189846273279,3
Desafinado                                                                                                                                                                        - Stan Getz                                       ,0.4084084084084084,0.0965965965965966,0.3383383383383384,0.1041741549733877,1.0,0.577077077077077,0.8948948948948949,0.6555062620636392,0.3693693693693693,0.5385385385385385,0.5055055055055055,0.8204089349340746,15
Madalena                                                                                                                                                                          - Maria Gasolina                                  ,0.7312312312312312,0.1246246246246246,1.0,0.168112297122536,0.0,0.4884884884884884,0.921921921921922,0.7087087087087087,0.4169169169169169,0.5385385385385385,0.7562925244084664,0.1948193310787262,12
O Meu Amor É Glòria                                                                                                                                                               - Sílvia Pérez Cruz                               ,0.4534534534534534,0.4934934934934935,0.6341341341341341,0.2742742742742742,1.0,0.992992992992993,0.7920420420420421,0.384182776801406,0.9780142601256162,0.5385385385385385,0.9294294294294294,0.2531658118055833,7
Brigas Nunca Mais                                                                                                                                                                 - Paula Morelenbaum                               ,0.7602602602602602,0.2992992992992992,0.8883883883883883,0.2440085716784746,1.0,0.2697697697697697,0.696363029696363,0.6285897641585112,0.5965965965965966,0.5385385385385385,0.7184394788147945,0.931225349371978,28
Previsao                                                                                                                                                                          - Bossacucanova                                   ,0.7292292292292293,0.6951951951951951,0.1661661661661661,0.439283676199564,1.0,0.2347347347347347,0.7755607323330667,0.6972687790765592,0.5540540540540541,0.5385385385385385,0.6206206206206206,0.295589843275423,26
The Girl From Ipanema                                                                                                                                                             - Stan Getz                                       ,0.6711711711711712,0.0920920920920921,0.7217217217217218,0.116076032843785,1.0,0.2507507507507507,0.8568568568568569,0.4956216058578264,0.3523523523523523,0.5385385385385385,0.4701130856219709,0.6960318726514346,3
Blue Bossa - Remastered                                                                                                                                                           - Joe Henderson                                   ,0.4234234234234234,0.2222222222222222,0.4664664664664665,0.3168324284264344,0.0,0.4750853480236499,0.7648327491597313,0.7631569291009576,0.3788788788788788,0.5385385385385385,0.936995153473344,0.0987645208767471,12
Aqua De Coco                                                                                                                                                                      - Marcos Valle                                    ,0.8573573573573574,0.4924924924924925,0.8883883883883883,0.3326192707636007,0.0,0.582082082082082,0.7287287287287287,0.4768689382180722,0.943943943943944,0.5385385385385385,0.8773773773773774,0.1397639385894845,16
Samba de Verão                                                                                                                                                                    - Marcos Valle                                    ,0.7657657657657657,0.2097097097097097,0.0,0.1501501501501501,1.0,0.0925925925925925,0.8338338338338338,0.4162814006785638,0.8613613613613613,0.5385385385385385,0.901901901901902,0.4553294539786394,26
Mas Que Nada                                                                                                                                                                      - Rio Combo                                       ,0.6251251251251251,0.2932932932932933,0.4664664664664665,0.2013604255690241,0.0,0.082082082082082,0.5615615615615616,0.5044207362963719,0.6771771771771772,0.5385385385385385,0.948948948948949,0.1426720178806513,12
Nova Bossa Nova                                                                                                                                                                   - Marcos Valle                                    ,0.5925925925925926,0.5015015015015015,0.7217217217217218,0.2793052578840426,1.0,0.3668668668668668,0.7367367367367368,0.7722722722722724,0.575075075075075,0.5385385385385385,0.924924924924925,0.2255346632939991,3
Não Sei                                                                                                                                                                           - Sílvia Pérez Cruz                               ,0.3283283283283283,0.0622421159493402,0.1661661661661661,0.1615925897933566,0.0,0.2622622622622622,0.941941941941942,0.5015356182868873,0.7457457457457457,0.05005005005005,0.1971971971971972,0.4164843162795085,5
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                     - Chico César                                     ,0.5410410410410411,0.0767803014281887,0.2712712712712712,0.2499271018824091,1.0,0.2997997997997997,0.8708091193562808,0.0,0.8673673673673674,0.5385385385385385,0.383654457377085,0.3855804689829151,37
Aquarela Do Brasil                                                                                                                                                                - Carlos Barbosa-Lima                             ,0.3643643643643643,0.1429685884231338,0.3918918918918919,0.0826679491487643,0.0,0.3928928928928928,0.921921921921922,0.8983983983983983,0.3523523523523523,0.5385385385385385,0.5225225225225225,0.0869958689722466,5
Brigas Nunca Mais                                                                                                                                                                 - Brazilian Jazz                                  ,0.4859859859859859,0.1548037157001106,0.0,0.1442896488768048,1.0,0.3758758758758759,0.9324324324324323,0.8763763763763763,0.5325325325325325,0.5385385385385385,0.3443443443443443,0.2494886570902786,15
