title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,time_signature,valence,tempo
Se Eu Quiser Falar Com Deus                                                                                                                                                       - Gilberto Gil                                    ,0.7017017017017017,0.14614614614614616,1.0,0.1871871871871872,0.0,0.6156156156156156,0.7912912912912913,0.38538538538538536,0.998998998998999,0.5385385385385385,0.3763763763763764,0.4094268986950502
Saudade De Bahia                                                                                                                                                                  - Antônio Carlos Jobim                            ,0.8343343343343343,0.20686366840212997,0.27127127127127126,0.20364126959037668,1.0,0.15565565565565564,0.6101266726913056,0.2679269194212694,0.36936936936936937,0.5385385385385385,0.7627627627627628,0.5934620066075451
"Canta Canta, Minha Gente                                                                                                                                                        - Martinho Da Vila                                ",0.9623430962343116,0.4904904904904905,0.27127127127127126,0.26090857733659456,1.0,0.986986986986987,0.7170503837170503,0.38873381877987245,0.49199199199199195,0.5385385385385385,0.9419419419419419,0.19644975118845626
Mulher Eu Sei                                                                                                                                                                     - Chico César                                     ,0.7802802802802802,0.03795277927770042,0.3918918918918919,0.09628509601618934,1.0,0.3993993993993994,0.8648648648648649,0.37361725663716816,0.9192688139504094,0.5385385385385385,0.6096096096096096,0.3713601625450588
Rosa Morena                                                                                                                                                                       - Kurt Elling                                     ,0.6891891891891893,0.07980459298476225,0.5445445445445445,0.07548902850455264,1.0,0.23023023023023023,0.8833811186752363,0.4429782728544462,0.3433433433433434,0.5385385385385385,0.48648648648648646,0.5301189846273279
Desafinado                                                                                                                                                                        - Stan Getz                                       ,0.4084084084084084,0.0965965965965966,0.3383383383383384,0.1041741549733877,1.0,0.577077077077077,0.8948948948948949,0.6555062620636392,0.36936936936936937,0.5385385385385385,0.5055055055055055,0.8204089349340746
Madalena                                                                                                                                                                          - Maria Gasolina                                  ,0.7312312312312312,0.12462462462462463,1.0,0.16811229712253603,0.0,0.48848848848848847,0.9219219219219219,0.7087087087087087,0.4169169169169169,0.5385385385385385,0.7562925244084664,0.19481933107872626
O Meu Amor É Glòria                                                                                                                                                               - Sílvia Pérez Cruz                               ,0.45345345345345345,0.4934934934934935,0.6341341341341341,0.27427427427427425,1.0,0.992992992992993,0.7920420420420421,0.384182776801406,0.9780142601256162,0.5385385385385385,0.9294294294294294,0.2531658118055833
Brigas Nunca Mais                                                                                                                                                                 - Paula Morelenbaum                               ,0.7602602602602602,0.29929929929929927,0.8883883883883883,0.2440085716784746,1.0,0.26976976976976974,0.696363029696363,0.6285897641585112,0.5965965965965966,0.5385385385385385,0.7184394788147945,0.9312253493719779
Previsao                                                                                                                                                                          - Bossacucanova                                   ,0.7292292292292293,0.6951951951951951,0.16616616616616617,0.439283676199564,1.0,0.23473473473473472,0.7755607323330667,0.6972687790765592,0.5540540540540541,0.5385385385385385,0.6206206206206206,0.29558984327542304
The Girl From Ipanema                                                                                                                                                             - Stan Getz                                       ,0.6711711711711712,0.0920920920920921,0.7217217217217218,0.11607603284378501,1.0,0.25075075075075076,0.8568568568568569,0.4956216058578264,0.35235235235235235,0.5385385385385385,0.4701130856219709,0.6960318726514346
Blue Bossa - Remastered                                                                                                                                                           - Joe Henderson                                   ,0.42342342342342343,0.2222222222222222,0.4664664664664665,0.31683242842643444,0.0,0.4750853480236499,0.7648327491597313,0.7631569291009576,0.37887887887887883,0.5385385385385385,0.936995153473344,0.09876452087674718
Aqua De Coco                                                                                                                                                                      - Marcos Valle                                    ,0.8573573573573574,0.4924924924924925,0.8883883883883883,0.3326192707636007,0.0,0.582082082082082,0.7287287287287287,0.4768689382180722,0.943943943943944,0.5385385385385385,0.8773773773773774,0.13976393858948452
Samba de Verão                                                                                                                                                                    - Marcos Valle                                    ,0.7657657657657657,0.2097097097097097,0.0,0.15015015015015015,1.0,0.09259259259259259,0.8338338338338338,0.4162814006785638,0.8613613613613613,0.5385385385385385,0.9019019019019019,0.45532945397863944
Mas Que Nada                                                                                                                                                                      - Rio Combo                                       ,0.6251251251251251,0.2932932932932933,0.4664664664664665,0.20136042556902414,0.0,0.08208208208208209,0.5615615615615616,0.5044207362963719,0.6771771771771772,0.5385385385385385,0.948948948948949,0.14267201788065134
Nova Bossa Nova                                                                                                                                                                   - Marcos Valle                                    ,0.5925925925925926,0.5015015015015015,0.7217217217217218,0.27930525788404265,1.0,0.36686686686686687,0.7367367367367368,0.7722722722722724,0.575075075075075,0.5385385385385385,0.924924924924925,0.2255346632939991
Não Sei                                                                                                                                                                           - Sílvia Pérez Cruz                               ,0.3283283283283283,0.06224211594934028,0.16616616616616617,0.16159258979335664,0.0,0.26226226226226224,0.9419419419419419,0.5015356182868873,0.7457457457457457,0.05005005005005005,0.1971971971971972,0.41648431627950855
A Força Que Nunca Seca (feat. Maria Bethânia)                                                                                                                                     - Chico César                                     ,0.5410410410410411,0.07678030142818874,0.27127127127127126,0.24992710188240913,1.0,0.29979979979979976,0.8708091193562808,0.0,0.8673673673673674,0.5385385385385385,0.38365445737708503,0.3855804689829151
Aquarela Do Brasil                                                                                                                                                                - Carlos Barbosa-Lima                             ,0.36436436436436437,0.14296858842313387,0.3918918918918919,0.08266794914876435,0.0,0.39289289289289286,0.9219219219219219,0.8983983983983983,0.35235235235235235,0.5385385385385385,0.5225225225225225,0.08699586897224662
Brigas Nunca Mais                                                                                                                                                                 - Brazilian Jazz                                  ,0.48598598598598597,0.15480371570011062,0.0,0.14428964887680484,1.0,0.3758758758758759,0.9324324324324325,0.8763763763763763,0.5325325325325325,0.5385385385385385,0.34434434434434436,0.24948865709027865
Águas De Março                                                                                                                                                                    - Antônio Carlos Jobim                            ,0.6666666666666666,0.30430430430430433,0.3383383383383384,0.3523255443417141,1.0,0.8273273273273274,0.8428428428428428,0.0,0.4824824824824825,0.5385385385385385,0.5545545545545546,0.8229365461354117
Aquarela Do Brasil                                                                                                                                                                - Voyager                                         ,0.39039039039039036,0.09559559559559559,0.8058058058058057,0.07631822861096135,1.0,0.4184184184184184,0.8988988988988988,0.9319319319319319,0.14664664664664664,0.05005005005005005,0.3738738738738739,0.16757224690783706
Chega De Saudade                                                                                                                                                                  - João Gilberto                                   ,0.3683683683683684,0.14014014014014015,0.3918918918918919,0.12575259022176266,0.0,0.13313313313313313,0.8070643133840163,0.0,0.6821821821821822,0.5385385385385385,0.7577577577577578,0.9615026304659545
Don't Stop the Carnival                                                                                                                                                           - Sonny Rollins                                   ,0.4244244244244244,0.28196434139057086,0.0,0.25401348378876465,1.0,0.5305305305305306,0.7506254064923065,0.0,0.9782898940837198,0.5385385385385385,0.8788788788788788,0.3470115050739614
Rebel Rebel                                                                                                                                                                       - Seu Jorge                                       ,0.8853853853853855,0.12362362362362363,0.5445445445445445,0.13100813415424462,0.0,0.47297297297297297,0.8648648648648649,0.4401660956099614,0.5560560560560561,0.5385385385385385,0.6356356356356356,0.5247607439060693
Rosa Morena - Live At Carnegie Hall/1964                                                                                                                                          - Stan Getz                                       ,0.48598598598598597,0.08886268142658538,0.6341341341341341,0.027164304120622543,1.0,0.7027027027027027,0.8768768768768769,0.6457564575645757,0.9816583874665648,0.5385385385385385,0.5545545545545546,0.7449490077227303
Karoliina Kaunis                                                                                                                                                                  - Maria Gasolina                                  ,0.8538538538538538,0.12866576253673026,1.0,0.13081649290666011,0.0,0.973973973973974,0.7669654141972944,0.5309111465131816,0.23969078969078975,0.5385385385385385,0.46196196196196193,0.7178348734206322
"Brigas, Nunca Mais                                                                                                                                                              - João Gilberto                                   ",0.44394394394394393,0.13813813813813813,0.3918918918918919,0.15083336220010407,1.0,0.12062062062062062,0.7940147635935471,0.0,0.6451451451451451,0.5385385385385385,0.7987987987987988,0.1023004524471366
Aquarela Do Brasil                                                                                                                                                                - Gal Costa                                       ,0.5245245245245245,0.3023023023023023,0.16616616616616617,0.17942482605239204,1.0,0.9945357497435638,0.8283415288332588,0.46877362770300923,0.996320978613719,0.5385385385385385,0.7517517517517518,0.77479575300325
Kaipuusamba                                                                                                                                                                       - Maria Gasolina                                  ,0.5060060060060061,0.13158669719443203,0.5445445445445445,0.12394888055658786,1.0,0.5345345345345345,0.8186174630619075,0.6353420065574937,0.4314314314314314,0.5385385385385385,0.6172381206563929,0.07406688414315611
Batida Diferente                                                                                                                                                                  - Cannonball Adderley                             ,0.6036036036036035,0.25425425425425424,0.6341341341341341,0.266375747915418,1.0,0.45345345345345345,0.8628628628628628,0.8278278278278278,0.5025025025025025,0.5385385385385385,0.7637637637637638,0.2869545060209622
Team Zissou                                                                                                                                                                       - Seu Jorge                                       ,0.6266266266266266,0.20831475482638273,0.6341341341341341,0.2388401641803629,1.0,0.17267267267267267,0.8588588588588588,0.6234871932678161,0.2882882882882883,0.5385385385385385,0.8538538538538538,0.1907170877147886
